window,channel,x,y,row_acc,col_acc,activation_pattern
window_0.14_to_0.64s,FP2,0.1924464496629584,0.5922892699155132,0.2625,0.13333333333333333,0.38181562506906636
window_0.14_to_0.64s,AF3,-0.19572631237744492,0.46110229606836256,0.24583333333333332,0.14583333333333334,0.25804688964166067
window_0.14_to_0.64s,AF4,0.19572631237744492,0.46110229606836256,0.25666666666666665,0.14333333333333334,0.29353256773183667
window_0.14_to_0.64s,F7,-0.5038313462318709,0.36605489997964774,0.21166666666666667,0.2025,0.34035264643464824
window_0.14_to_0.64s,F5,-0.38316449267044905,0.3330798118805041,0.21833333333333332,0.1975,0.3880566031082047
window_0.14_to_0.64s,F3,-0.2555991277378157,0.31563863605626796,0.2375,0.15,0.2857377847637876
window_0.14_to_0.64s,F1,-0.12679132837194124,0.31381954998058037,0.24583333333333332,0.13666666666666666,0.1923520291739572
window_0.14_to_0.64s,FZ,0.0,0.31139098889535044,0.2783333333333333,0.13583333333333333,0.27866688662893857
window_0.14_to_0.64s,F2,0.12679132837194124,0.31381954998058037,0.25416666666666665,0.13333333333333333,0.23387744507155775
window_0.14_to_0.64s,F4,0.2555991277378157,0.31563863605626796,0.27,0.175,0.31753327757191835
window_0.14_to_0.64s,F6,0.38316449267044905,0.3330798118805041,0.235,0.22166666666666668,0.41475798898761856
window_0.14_to_0.64s,F8,0.5038313462318709,0.36605489997964774,0.20416666666666666,0.24,0.3655019182828436
window_0.14_to_0.64s,FT7,-0.5922892699155132,0.19244644966295846,0.2125,0.16583333333333333,0.3766243935247884
window_0.14_to_0.64s,FC5,-0.4486894406361628,0.17223573916038115,0.22166666666666668,0.18833333333333332,0.42320795214133006
window_0.14_to_0.64s,FC3,-0.2988471109399219,0.15889982751154078,0.22416666666666665,0.17833333333333334,0.3669503412253616
window_0.14_to_0.64s,FC1,-0.15317259329874983,0.15317259329874983,0.22833333333333333,0.15166666666666667,0.22702240723374673
window_0.14_to_0.64s,FCz,0.0,0.15569549444767522,0.2608333333333333,0.13333333333333333,0.24988051168544753
window_0.14_to_0.64s,FC2,0.15317259329874983,0.15317259329874983,0.255,0.1375,0.1888224119680883
window_0.14_to_0.64s,FC4,0.2988471109399219,0.15889982751154078,0.24,0.17666666666666667,0.3083752065928731
