reference,window,channel,x,y,dist_from_cz,row_acc,col_acc,activation_pattern
vertex,window_0.14_to_0.64s,C4,0.31139098889535044,1.9067198891700998e-17,0.31139098889535044,0.19273809523809524,0.21059523809523809,0.4061333962631703
vertex,window_0.14_to_0.64s,C6,0.4670742986901498,2.860005224274434e-17,0.4670742986901498,0.2286904761904762,0.2163095238095238,0.2823265679918729
vertex,window_0.14_to_0.64s,T8,0.622769793137825,3.8133651688594835e-17,0.622769793137825,0.23452380952380952,0.22178571428571428,0.47043984406893335
vertex,window_0.14_to_0.64s,M1,0.8664628506549251,5.305554783173226e-17,0.8664628506549251,0.2761904761904762,0.15428571428571428,1.0
vertex,window_0.14_to_0.64s,TP7,-0.5922892699155132,-0.19244644966295837,0.6227697931378249,0.24035714285714285,0.17797619047619048,0.5487159953674652
vertex,window_0.14_to_0.64s,CP5,-0.4486894406361628,-0.17223573916038112,0.4806114480352247,0.22988095238095238,0.18321428571428572,0.5099078643354209
vertex,window_0.14_to_0.64s,CP3,-0.2988471109399219,-0.15889982751154083,0.33846528758550026,0.2275,0.1744047619047619,0.6635915004207413
vertex,window_0.14_to_0.64s,CP1,-0.15317259329874983,-0.1531725932987498,0.21661875882695023,0.22642857142857142,0.15654761904761905,0.8153381838060051
vertex,window_0.14_to_0.64s,CPZ,1.9067198891700998e-17,-0.15569549444767522,0.15569549444767522,0.2180952380952381,0.12678571428571428,0.46387911854806446
vertex,window_0.14_to_0.64s,CP2,0.15317259329874983,-0.1531725932987498,0.21661875882695023,0.22690476190476191,0.18404761904761904,0.42879769443870686
vertex,window_0.14_to_0.64s,CP4,0.2988471109399219,-0.15889982751154083,0.33846528758550026,0.22154761904761905,0.19107142857142856,0.5350187419853505
vertex,window_0.14_to_0.64s,CP6,0.4486894406361628,-0.17223573916038112,0.4806114480352247,0.2375,0.18095238095238095,0.5058105987831395
vertex,window_0.14_to_0.64s,TP8,0.5922892699155132,-0.19244644966295837,0.6227697931378249,0.24535714285714286,0.18880952380952382,0.5149103189067936
vertex,window_0.14_to_0.64s,M2,-0.8664628506549251,5.305554783173226e-17,0.8664628506549251,0.2714285714285714,0.15773809523809523,0.8916216412154165
vertex,window_0.14_to_0.64s,P7,-0.5038313462318709,-0.3660548999796477,0.6227697931378249,0.25226190476190474,0.15142857142857144,0.6178681420368699
